product_name,category,price
Tablet Air,Electronics,446.63
Laptop Pro 15,Electronics,372.07
Smartphone X12,Electronics,321.52
Bluetooth Speaker,Electronics,297.29
Green Tea Box,Food & Grocery,149.61
Building Blocks,Toys,148.48
Shower Curtain,Home & Kitchen,147.86
Cargo Shorts,Clothing,146.1
Cotton T-Shirt,Clothing,143.8
Science Set,Toys,137.4
Desk Lamp,Home & Kitchen,133.39
Face Moisturizer,Beauty,132.07
Coffee Maker,Home & Kitchen,125.26
SQL Cookbook,Books,122.37
Wool Sweater,Clothing,122.03
Card Game,Toys,121.73
Mechanical Keyboard,Electronics,120.17
RC Car,Toys,116.41
Wireless Earbuds,Electronics,115.49
Data Science Handbook,Books,115.03
Trail Mix,Food & Grocery,114.59
Eye Serum,Beauty,113.02
Resistance Bands,Sports,110.72
Database Fundamentals,Books,108.82
Running Watch,Sports,106.76
Clean Code,Books,106.23
Board Game Classic,Toys,104.78
Puzzle 1000pc,Toys,104.27
