breed,description
Persian,Long-haired calm and gentle
Siamese,Vocal slender and social
MaineCoon,Large fluffy and friendly
Bengal,Spotted active and energetic
Sphynx,Hairless affectionate and warm
Ragdoll,Blue eyes docile and relaxed
BritishShorthair,Round face dense coat sturdy
ScottishFold,Folded ears sweet and calm
Abyssinian,Short hair playful and curious
RussianBlue,Silver-blue intelligent and shy
Birman,Color-pointed silky and gentle
NorwegianForest,Long-haired robust and outdoorsy
DevonRex,Curly coat mischievous and loyal
Burmese,Muscular affectionate and vocal
Tonkinese,Active playful and people-oriented
